trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.52423116125968,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.63475662799264,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.12473525838683,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.30623869710352,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.68665570292752,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.45232613281404,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.7687457152432,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.0850897146456,"{0: 12, 1: 6, 2: 9, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-42.229505259438156,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.58133988076108,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.83707092670339,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-144.82965556498985,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-262.7961607981196,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.50830344374123,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-24.540381056192743,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,12,-198.26087334615892,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 5}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.39831126946277,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.27294713206578,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.68766909488657,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.112601258268,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-70.86941561662414,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-155.5636277597381,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",25,0,-110.29050447944256,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-176.8174354919465,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",30,0,-180.1085106153083,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-7.235408165914796,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-146.7981123586643,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-72.1504486380744,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-180.08846411208043,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",30,0,-140.18197881028917,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
