trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-248.35074902340372,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-63.2897536720056,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-114.27347280536891,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-19.435637327106335,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-123.14416734057255,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-226.85717692110637,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-87.7714749859775,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-84.58727266284464,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-134.73596578265204,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-131.26369460121606,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-105.93593263991468,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-97.34205935538891,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-78.1410374342091,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-192.26166220021747,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-87.54872719023057,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-137.63571541831567,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-211.842579764444,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",35,0,-156.68570680121454,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
